Bar name,Category,Item name,Description,Price
Aqualuna Lido,PASTA & RISOTTO,Gnocchi Nduja & Buffalo Stracciatella,"Tomato sauce, spicy nduja, buffalo stracciatella",16.99
Aqualuna Lido,PASTA & RISOTTO,Tagliatelle Funghi Porcini & Burrata,"Burrata, porcini mushrooms, cream",18.99
Aqualuna Lido,PASTA & RISOTTO,Linguine Frutti di Mare,"Calamari, mussels, clams, prawns, langoustines, cherry tomatoes, breadcrumbs, parsley",22.99
Aqualuna Lido,MAINS,Grilled Ribeye (350g),"Angus ribeye, mushroom or pepper sauce, roasted potatoes, vegetables",35.99
Aqualuna Lido,MAINS,Beef Tagliata,"Ribeye steak, rocket, cherry tomatoes, grana flakes, fries",28.99
Aqualuna Lido,MAINS,Baby Back Pork Ribs,"BBQ sauce, fries",21.99
Aqualuna Lido,MAINS,Grilled Octopus,"Mashed potatoes, vegetables",31.99
Aqualuna Lido,PIZZA,Margherita,"Tomato sauce, fior di latte, basil",12.99
Aqualuna Lido,PIZZA,Capricciosa,"Tomato sauce, mozzarella, ham, mushrooms, artichokes, olives, eggs",14.99
Aqualuna Lido,PIZZA,Mortazza Pizza,"Fior di latte, mortadella, burrata, pistachio pesto, grana flakes",16.99
Aqualuna Lido,SIDES,Grilled Seasonal Vegetables,,4.99
Aqualuna Lido,SIDES,Mixed Salad,,4.99
Aqualuna Lido,SIDES,Roasted Potatoes,,4.99
Aqualuna Lido,SIDES,French Fries,,4.99
Aqualuna Lido,SIDES,Sweet Potato Fries,,6.99
Aqualuna Lido,SIDES,Mashed Potatoes,,5.99
Aqualuna Lido,DESSERTS,Panna Cotta,"Choice of Nutella, Pistachio, or Berries",5.99
Aqualuna Lido,DESSERTS,Tiramisu,"Classic with savoiardi biscuit, coffee, mascarpone cream cheese, and cocoa",5.99
Aqualuna Lido,DESSERTS,Cannolo Siciliano,Traditional Sicilian cannolo with crushed pistachios,5.99
Aqualuna Lido,DESSERTS,Pizza with Nutella or Pistachio,Sweet pizza topped with Nutella or Pistachio cream,10.99
Aqualuna Lido,WATER,Kristal Still Water (500ml),,2.6
Aqualuna Lido,SOFT DRINKS,Coca Cola (330ml),,3.2
Aqualuna Lido,SOFT DRINKS,Coca Cola Zero (330ml),,3.2
Aqualuna Lido,SOFT DRINKS,Sprite (330ml),,3.2
Aqualuna Lido,SOFT DRINKS,Fanta Orange (330ml),,3.2
Aqualuna Lido,SOFT DRINKS,Kinnie (330ml),,3.2
Aqualuna Lido,SOFT DRINKS,Diet Kinnie (330ml),,3.2
Aqualuna Lido,ENERGY DRINKS,Red Bull (250ml),,4.6
Aqualuna Lido,ENERGY DRINKS,Monster (500ml),,5.1
Aqualuna Lido,ICE TEA,Ice Tea Peach (500ml),,3.7
Aqualuna Lido,ICE TEA,Ice Tea Lemon (500ml),,3.7
Aqualuna Lido,BEER,Corona (330ml),,4.95
Aqualuna Lido,BEER,Sol (330ml),,4.2
Aqualuna Lido,BEER,Cisk Excel (330ml),,4.2
Aqualuna Lido,BEER,Heineken (250ml),,3.7
Aqualuna Lido,BEER,Blue Label (440ml),,5.2
Aqualuna Lido,BEER,Guinness (440ml),,6.2
Aqualuna Lido,BEER,Bavaria Non Alcoholic (330ml),,4
Aqualuna Lido,CIDER,Somersby Apple (330ml),,4.95
Aqualuna Lido,CIDER,Somersby Blackberry (330ml),,4.95
Aqualuna Lido,CIDER,Somersby Mango & Lime (330ml),,4.95
Aqualuna Lido,CIDER,Kopparberg Pear (330ml),,4.95
Aqualuna Lido,WHITE WINE,Pinot Grigio (750ml),,23
Aqualuna Lido,ROSÉ WINE,Rose D’Anjou (750ml),,23
Aqualuna Lido,RED WINE,Nero D’Avola (750ml),,25
Aqualuna Lido,SPARKLING WINE,Prosecco (750ml),,24
Aqualuna Lido,DESSERT WINE,Moscato D’Asti (750ml),,29
Aqualuna Lido,BREAKFAST,Omelette Mushrooms & Mozzarella,"Mushrooms, mozzarella, parsley, black pepper. Served with salad & toasted bread",7.99
Aqualuna Lido,BREAKFAST,Omelette Ham & Mozzarella,"Ham, mozzarella, parsley, black pepper. Served with salad & toasted bread",7.99
Aqualuna Lido,BREAKFAST,"Omelette Rucola, Salmon & Cucumber","Smoked salmon, rucola, cucumbers, parsley, black pepper. Served with salad & toasted bread",8.99
Aqualuna Lido,BREAKFAST,Pizza Bread Chicken,"Chicken, cherry tomatoes, mayonnaise, Swiss cheese. Served with chips",8.99
Aqualuna Lido,BREAKFAST,Pizza Bread Caprese,"Buffalo mozzarella, lettuce, tomatoes, basil, oregano, olive oil, black pepper. Served with chips",8.99
Aqualuna Lido,BREAKFAST,Pizza Bread Parma Ham & Rucola,"Parma ham, rucola, grana flakes. Served with chips",8.99
Aqualuna Lido,BREAKFAST,Pizza Bread Salmon & Philadelphia,"Smoked salmon, rucola, cucumbers, Philadelphia cheese, parsley, black pepper. Served with chips",9.99
Aqualuna Lido,BREAKFAST,Croissant Plain,Classic butter croissant,2.5
Aqualuna Lido,BREAKFAST,Croissant Cherry Jam,Croissant filled with cherry jam,2.99
Aqualuna Lido,BREAKFAST,Croissant Nutella,Croissant filled with Nutella,2.99
Aqualuna Lido,BREAKFAST,Croissant Nutella & Pistachio,Croissant filled with Nutella & pistachio cream,2.99
Aqualuna Lido,BREAKFAST,Croissant Ricotta,Croissant filled with sweet ricotta,2.99
Aqualuna Lido,STARTERS,Classic Bruschetta,"Cherry tomatoes, garlic, olive oil, basil",5.99
Aqualuna Lido,STARTERS,Buffalo & Cherry Tomato Bruschetta,"Buffalo mozzarella, cherry tomatoes, garlic, olive oil, basil",7.5
Aqualuna Lido,STARTERS,Nduja & Burrata Bruschetta,"Spicy pork spread (Nduja), burrata, olive oil",7.99
Aqualuna Lido,STARTERS,Salmon & Buffalo Stracciatella Bruschetta,"Salmon gravlax, buffalo stracciatella, chili, parsley",8.5
Aqualuna Lido,STARTERS,Burrata Pugliese,"Burrata, cherry tomato jam, pistachio pesto, toasted bread",13.5
Aqualuna Lido,STARTERS,Crispy Calamari,"Semolina dusted calamari, served with homemade tartar dip",16.99
Aqualuna Lido,STARTERS,Mixed Fried Fish (Fritto Misto),"Calamari, prawns, salmon, stuffed zucchini flower, tartar dip",18.5
Aqualuna Lido,STARTERS,Salmon Gravlax Carpaccio,"Marinated salmon, chili, parsley, croutons, olive oil",17.5
Aqualuna Lido,STARTERS,Fillet of Beef Carpaccio,"Rocket leaves, lemon juice, black pepper, grana flakes",18
Aqualuna Lido,STARTERS,Mussels Soup,"Mussels, San Marzano tomatoes, basil, fresh chili",14.99
Aqualuna Lido,STARTERS,Aljotta (Maltese Fish Soup),"Fresh fish, mussels, prawns, calamari, cherry tomatoes, chili, croutons",15.99
Aqualuna Lido,STARTERS,Braised Octopus,"Local octopus, cherry tomatoes, basil, parsley, chili, tomato sauce, toasted bread",18.5
Aqualuna Lido,STARTERS,Italian Platter (Serves 2 3),"Salami, ham, Parma ham, mortadella, pecorino, grana, buffalo mozzarella, honey, seasonal fruit, croutons",43.99
Aqualuna Lido,SALADS,Grilled Mixed Vegetable Salad,"Peppers, zucchini, aubergine, tomatoes, onions, asparagus, guacamole dip",13.99
Aqualuna Lido,SALADS,Caprese Salad,"Buffalo mozzarella, tomatoes, lettuce, fresh basil",14.99
Aqualuna Lido,SALADS,Crispy Chicken Caesar Salad,"Fried chicken breast, iceberg lettuce, cherry tomatoes, croutons, grana flakes, Caesar dressing",15.99
Aqualuna Lido,SALADS,Parma Ham & Burrata Salad,"Parma ham, mixed leaves, iceberg, croutons, olives, grana flakes, cherry tomatoes, burrata",18.99
Aqualuna Lido,SALADS,Salmon & Burrata Salad,"Salmon gravlax, burrata, quinoa, mixed leaves, cucumbers, cherry tomatoes, guacamole, balsamic vinegar",18.99
Aqualuna Lido,SALADS,Octopus Salad,"Local octopus, iceberg lettuce, cherry tomatoes, garlic oil, parsley, lemon dressing",19.99
Aqualuna Lido,BURGERS,"Black Angus, Burrata & Pistachio Burger","220g Angus beef patty, lettuce, tomatoes, pickles, crispy onion rings, cherry tomato jam, burrata, pistachio pesto",18.99
Aqualuna Lido,BURGERS,Tuna & Guacamole Burger,"Fresh tuna patty, tomatoes, lettuce, crispy onion rings, guacamole sauce",18.99
Aqualuna Lido,BURGERS,BBQ Pulled Pork Burger,"Pulled pork, lettuce, pickles, Swiss cheese, crispy onion rings, BBQ sauce",16.99
Aqualuna Lido,BURGERS,Crispy Chicken & Buffalo Burger,"Fried chicken breast, lettuce, tomatoes, caramelized onions, buffalo mozzarella, pickles, pink sauce",16.99
Aqualuna Lido,PASTA & RISOTTO,Spaghetti Cacio e Pepe,"Traditional Roman dish with Pecorino Romano, crushed black pepper",16.99
Aqualuna Lido,PASTA & RISOTTO,Rigatoni Carbonara,"Guanciale, egg yolks, Pecorino Romano, black pepper",14.99
Aqualuna Lido,PASTA & RISOTTO,Tortellini Bolognese,"Cheese filled tortellini, pork & beef slow cooked in red wine, tomato sauce, onions, carrots, celery",16.99
Aqualuna Lido,PASTA & RISOTTO,Gnocchi Nduja & Buffalo Stracciatella,"Homemade gnocchi with tomato sauce, spicy nduja sausage, buffalo stracciatella cheese",16.99
Aqualuna Lido,PASTA & RISOTTO,Tagliatelle Funghi Porcini & Burrata,"Tagliatelle with porcini mushrooms, burrata cheese, cream",18.99
Aqualuna Lido,PASTA & RISOTTO,Linguine Frutti di Mare,"Calamari, mussels, clams, prawns, langoustines, cherry tomatoes, breadcrumbs, parsley",22.99
Aqualuna Lido,MAIN COURSES,Grilled Ribeye (350g),"Angus ribeye, choice of mushroom or pepper sauce, served with roasted potatoes & vegetables",35.99
Aqualuna Lido,MAIN COURSES,Beef Tagliata,"Sliced ribeye steak, rocket, cherry tomatoes, grana flakes, served with fries",28.99
Aqualuna Lido,MAIN COURSES,Baby Back Pork Ribs,"BBQ glazed pork ribs, served with fries",21.99
Aqualuna Lido,MAIN COURSES,Grilled Octopus,"Grilled local octopus, served with mashed potatoes & vegetables",31.99
Aqualuna Lido,PIZZA,Margherita,"Tomato sauce, fior di latte, basil",12.99
Aqualuna Lido,PIZZA,Diavola,"Tomato sauce, fior di latte, spicy salami, basil",14.99
Aqualuna Lido,PIZZA,Capricciosa,"Tomato sauce, mozzarella, ham, mushrooms, artichokes, olives, eggs",14.99
Aqualuna Lido,PIZZA,Quattro Formaggi,"Fior di latte, gorgonzola, provolone, grana flakes",15.99
Aqualuna Lido,PIZZA,Mortazza Pizza,"Fior di latte, mortadella, burrata, pistachio pesto, grana flakes",16.99
Aqualuna Lido,PIZZA,Parma e Rucola,"Tomato sauce, fior di latte, Parma ham, grana flakes, rocket leaves",16.99
Aqualuna Lido,PIZZA,Frutti di Mare,"Tomato sauce, fior di latte, mixed seafood, garlic oil, parsley",18.99
Aqualuna Lido,SIDES,Grilled Seasonal Vegetables,,4.99
Aqualuna Lido,SIDES,Mixed Salad,,4.99
Aqualuna Lido,SIDES,Roasted Potatoes,,4.99
Aqualuna Lido,SIDES,French Fries,,4.99
Aqualuna Lido,SIDES,Sweet Potato Fries,,6.99
Aqualuna Lido,SIDES,Mashed Potatoes,,5.99
Aqualuna Lido,DESSERTS,Panna Cotta,"Choice of Nutella, Pistachio, or Berries",5.99
Aqualuna Lido,DESSERTS,Tiramisu,"Classic Italian tiramisu with savoiardi biscuit, coffee, mascarpone cream cheese, cocoa",5.99
Aqualuna Lido,DESSERTS,Cannolo Siciliano,Traditional Sicilian cannolo with crushed pistachios,5.99
Aqualuna Lido,DESSERTS,Pizza with Nutella or Pistachio,Sweet pizza topped with Nutella or Pistachio cream,10.99
Aqualuna Lido,WATER,Kristal Still Water,500ml,2.6
Aqualuna Lido,SOFT DRINKS,Coca Cola,330ml,3.2
Aqualuna Lido,SOFT DRINKS,Coca Cola Zero,330ml,3.2
Aqualuna Lido,SOFT DRINKS,Sprite,330ml,3.2
Aqualuna Lido,SOFT DRINKS,Fanta Orange,330ml,3.2
Aqualuna Lido,SOFT DRINKS,Kinnie,330ml,3.2
Aqualuna Lido,SOFT DRINKS,Diet Kinnie,330ml,3.2
Aqualuna Lido,ENERGY DRINKS,Red Bull,250ml,4.6
Aqualuna Lido,ENERGY DRINKS,Monster,500ml,5.1
Aqualuna Lido,ICE TEA,Ice Tea Peach,500ml,3.7
Aqualuna Lido,ICE TEA,Ice Tea Lemon,500ml,3.7
Aqualuna Lido,BEER,Corona,330ml,4.95
Aqualuna Lido,BEER,Sol,330ml,4.2
Aqualuna Lido,BEER,Cisk Excel,330ml,4.2
Aqualuna Lido,BEER,Heineken,250ml,3.7
Aqualuna Lido,BEER,Blue Label,440ml,5.2
Aqualuna Lido,BEER,Guinness,440ml,6.2
Aqualuna Lido,BEER,Bavaria Non Alcoholic,330ml,4
Aqualuna Lido,CIDER,Somersby Apple,330ml,4.95
Aqualuna Lido,CIDER,Somersby Blackberry,330ml,4.95
Aqualuna Lido,CIDER,Somersby Mango & Lime,330ml,4.95
Aqualuna Lido,CIDER,Kopparberg Pear,330ml,4.95
Aqualuna Lido,WHITE WINE,Pinot Grigio,750ml,23
Aqualuna Lido,ROSÉ WINE,Rose D’Anjou,750ml,23
Aqualuna Lido,RED WINE,Nero D’Avola,750ml,25
Aqualuna Lido,SPARKLING WINE,Prosecco,750ml,24
Aqualuna Lido,DESSERT WINE,Moscato D’Asti,750ml,29
Spinola Cafe Lounge St Julians,BREAKFAST,Plain Croissant, ,2
Spinola Cafe Lounge St Julians,BREAKFAST,Pistachio or Chocolate Filled Croissant,Choose between pistachio or chocolate filling,3.5
Spinola Cafe Lounge St Julians,BREAKFAST,Ham & Cheese Toast, ,3
Spinola Cafe Lounge St Julians,BREAKFAST,Ham & Cheese Croissant, ,3
Spinola Cafe Lounge St Julians,BREAKFAST,Go Breakfast,"Coffee, orange juice, and a plain croissant",7
Spinola Cafe Lounge St Julians,DESSERTS,Tiramisu,Traditionally made tiramisu,5
Spinola Cafe Lounge St Julians,DESSERTS,Strawberry Cheesecake, ,5
Spinola Cafe Lounge St Julians,DESSERTS,Chocolate Mousse, ,6
Spinola Cafe Lounge St Julians,DESSERTS,Sicilian Ricotta Cannolo, ,6
Spinola Cafe Lounge St Julians,DESSERTS,Sicilian Cannolo with Pistachio of Bronte, ,8
Spinola Cafe Lounge St Julians,DESSERTS,Brownie, ,4.5
Spinola Cafe Lounge St Julians,DESSERTS,Strawberry Whole Cheesecake (500g),Requires 1 day advance order,20
Spinola Cafe Lounge St Julians,DESSERTS,Pistachio Tartelletta, ,1.5
Spinola Cafe Lounge St Julians,DESSERTS,Hazelnut Tartelletta, ,1.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso, ,1.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Lungo, ,1.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Macchiato, ,1.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Decaf Coffee, ,1.8
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Cappuccino, ,2.25
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Double Espresso, ,2.8
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Mocha, ,2
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Caffè Latte, ,2.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Americano, ,2.2
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Ice Coffee, ,3.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Tea,Earl Grey or English Breakfast,3
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Hot Chocolate,Pure chocolate with whipped cream,4.25
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Hazelnut Hot Chocolate,Melted chocolate with hazelnut syrup,4.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Mini Marshmallow Hot Chocolate,Melted chocolate topped with mini marshmallows,4.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Homemade Hot Tea, ,5
Spinola Cafe Lounge St Julians,SMOOTHIES,Strawberry & Banana Smoothie,"Blended strawberries, banana, and apple juice",5.5
Spinola Cafe Lounge St Julians,SMOOTHIES,Tropical Smoothie,"Blended mango, pineapple, papaya, and apple juice",5.5
Spinola Cafe Lounge St Julians,MILKSHAKES,Brownie Milkshake,Blended brownie with chocolate ice cream,5.75
Spinola Cafe Lounge St Julians,MILKSHAKES,Macaroon Milkshake,Crushed macaroons with vanilla ice cream,5.75
Spinola Cafe Lounge St Julians,MILKSHAKES,Regular Shake, ,4
Spinola Cafe Lounge St Julians,COFFEE COCKTAILS,Baileys Coffee,Espresso with Baileys liqueur,7
Spinola Cafe Lounge St Julians,COFFEE COCKTAILS,Irish Coffee,Espresso with Jameson whiskey and whipped cream,7.5
Spinola Cafe Lounge St Julians,COFFEE COCKTAILS,Italian Coffee,Espresso with Amaretto and whipped cream,7.5
Spinola Cafe Lounge St Julians,WATER,Still Water,500ml,2
Spinola Cafe Lounge St Julians,WATER,Sparkling Water,500ml,2
Spinola Cafe Lounge St Julians,SOFT DRINKS,Coca Cola,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Coca Cola Zero,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Sprite,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Fanta Orange,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Kinnie,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Diet Kinnie,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Lemon Ice Tea,330ml,3
Spinola Cafe Lounge St Julians,SOFT DRINKS,Peach Ice Tea,330ml,3
Spinola Cafe Lounge St Julians,ENERGY DRINKS,Red Bull,250ml,4.5
Spinola Cafe Lounge St Julians,BEER,Cisk Lager,330ml,3.5
Spinola Cafe Lounge St Julians,BEER,Heineken,330ml,4
Spinola Cafe Lounge St Julians,BEER,Corona,330ml,4.5
Spinola Cafe Lounge St Julians,CIDER,Somersby Apple,330ml,4.5
Spinola Cafe Lounge St Julians,CIDER,Somersby Blackberry,330ml,4.5
Spinola Cafe Lounge St Julians,WHITE WINE,Pinot Grigio,750ml,23
Spinola Cafe Lounge St Julians,ROSÉ WINE,Rose D’Anjou,750ml,23
Spinola Cafe Lounge St Julians,RED WINE,Nero D’Avola,750ml,25
Spinola Cafe Lounge St Julians,SPARKLING WINE,Prosecco,750ml,24
Spinola Cafe Lounge St Julians,WHISKEY,Jack Daniel’s,40ml,5.5
Spinola Cafe Lounge St Julians,WHISKEY,Jameson,40ml,5.5
Spinola Cafe Lounge St Julians,VODKA,Absolut,40ml,5.5
Spinola Cafe Lounge St Julians,VODKA,Grey Goose,40ml,7
Spinola Cafe Lounge St Julians,GIN,Bombay Sapphire,40ml,5.5
Spinola Cafe Lounge St Julians,GIN,Tanqueray,40ml,5.5
Spinola Cafe Lounge St Julians,RUM,Bacardi,40ml,5.5
Spinola Cafe Lounge St Julians,RUM,Captain Morgan,40ml,5.5
Spinola Cafe Lounge St Julians,LIQUEURS,Baileys,40ml,5.5
Spinola Cafe Lounge St Julians,LIQUEURS,Amaretto,40ml,5.5
Spinola Cafe Lounge St Julians,BREAKFAST,Plain Croissant, ,2
Spinola Cafe Lounge St Julians,BREAKFAST,Pistachio or Chocolate Filled Croissant,Choose between pistachio or chocolate filling,3.5
Spinola Cafe Lounge St Julians,BREAKFAST,Ham & Cheese Toast, ,3
Spinola Cafe Lounge St Julians,BREAKFAST,Ham & Cheese Croissant, ,3
Spinola Cafe Lounge St Julians,BREAKFAST,Go Breakfast,"Coffee, orange juice, and a plain croissant",7
Spinola Cafe Lounge St Julians,DESSERTS,Tiramisu,Traditionally made tiramisu,5
Spinola Cafe Lounge St Julians,DESSERTS,Strawberry Cheesecake, ,5
Spinola Cafe Lounge St Julians,DESSERTS,Chocolate Mousse, ,6
Spinola Cafe Lounge St Julians,DESSERTS,Sicilian Ricotta Cannolo, ,6
Spinola Cafe Lounge St Julians,DESSERTS,Sicilian Cannolo with Pistachio of Bronte, ,8
Spinola Cafe Lounge St Julians,DESSERTS,Brownie, ,4.5
Spinola Cafe Lounge St Julians,DESSERTS,Strawberry Whole Cheesecake (500g),Requires 1 day advance order,20
Spinola Cafe Lounge St Julians,DESSERTS,Pistachio Tartelletta, ,1.5
Spinola Cafe Lounge St Julians,DESSERTS,Hazelnut Tartelletta, ,1.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso, ,1.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Lungo, ,1.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Macchiato, ,1.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Decaf Coffee, ,1.8
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Americano, ,2.2
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Mocha, ,2
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Cappuccino, ,2.25
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Caffè Latte, ,2.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Double Espresso, ,2.8
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Ice Coffee, ,3.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Tea,Earl Grey or English Breakfast,3
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Hot Chocolate,Pure chocolate with whipped cream,4.25
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Hazelnut Hot Chocolate,Melted chocolate with hazelnut syrup,4.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Mini Marshmallow Hot Chocolate,Melted chocolate topped with mini marshmallows,4.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Homemade Hot Tea, ,5
Spinola Cafe Lounge St Julians,SMOOTHIES,Strawberry & Banana Smoothie,"Blended strawberries, banana, and apple juice",5.5
Spinola Cafe Lounge St Julians,SMOOTHIES,Tropical Smoothie,"Blended mango, pineapple, papaya, and apple juice",5.5
Spinola Cafe Lounge St Julians,MILKSHAKES,Brownie Milkshake,Blended brownie with chocolate ice cream,5.75
Spinola Cafe Lounge St Julians,MILKSHAKES,Macaroon Milkshake,Crushed macaroons with vanilla ice cream,5.75
Spinola Cafe Lounge St Julians,MILKSHAKES,Regular Shake, ,4
Spinola Cafe Lounge St Julians,COFFEE COCKTAILS,Baileys Coffee,Espresso with Baileys liqueur,7
Spinola Cafe Lounge St Julians,COFFEE COCKTAILS,Irish Coffee,Espresso with Jameson whiskey and whipped cream,7.5
Spinola Cafe Lounge St Julians,COFFEE COCKTAILS,Italian Coffee,Espresso with Amaretto and whipped cream,7.5
Spinola Cafe Lounge St Julians,WATER,Still Water,500ml,2
Spinola Cafe Lounge St Julians,WATER,Sparkling Water,500ml,2
Spinola Cafe Lounge St Julians,SOFT DRINKS,Coca Cola,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Coca Cola Zero,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Sprite,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Fanta Orange,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Kinnie,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Diet Kinnie,330ml,2.5
Spinola Cafe Lounge St Julians,SOFT DRINKS,Lemon Ice Tea,330ml,3
Spinola Cafe Lounge St Julians,SOFT DRINKS,Peach Ice Tea,330ml,3
Spinola Cafe Lounge St Julians,ENERGY DRINKS,Red Bull,250ml,4.5
Spinola Cafe Lounge St Julians,BEER,Cisk Lager,330ml,3.5
Spinola Cafe Lounge St Julians,BEER,Heineken,330ml,4
Spinola Cafe Lounge St Julians,BEER,Corona,330ml,4.5
Spinola Cafe Lounge St Julians,CIDER,Somersby Apple,330ml,4.5
Spinola Cafe Lounge St Julians,CIDER,Somersby Blackberry,330ml,4.5
Spinola Cafe Lounge St Julians,WHITE WINE,Pinot Grigio,750ml,23
Spinola Cafe Lounge St Julians,ROSÉ WINE,Rosé D’Anjou,750ml,23
Spinola Cafe Lounge St Julians,RED WINE,Nero D’Avola,750ml,25
Spinola Cafe Lounge St Julians,SPARKLING WINE,Prosecco,750ml,24
Spinola Cafe Lounge St Julians,WHISKEY,Jack Daniel’s,40ml,5.5
Spinola Cafe Lounge St Julians,WHISKEY,Jameson,40ml,5.5
Spinola Cafe Lounge St Julians,VODKA,Absolut,40ml,5.5
Spinola Cafe Lounge St Julians,VODKA,Grey Goose,40ml,7
Spinola Cafe Lounge St Julians,GIN,Bombay Sapphire,40ml,5.5
Spinola Cafe Lounge St Julians,GIN,Tanqueray,40ml,5.5
Spinola Cafe Lounge St Julians,RUM,Bacardi,40ml,5.5
Spinola Cafe Lounge St Julians,RUM,Captain Morgan,40ml,5.5
Spinola Cafe Lounge St Julians,LIQUEURS,Baileys,40ml,5.5
Spinola Cafe Lounge St Julians,LIQUEURS,Amaretto,40ml,5.5
Spinola Cafe Lounge St Julians,BREAKFAST,Plain Croissant, ,2
Spinola Cafe Lounge St Julians,BREAKFAST,Pistachio or Chocolate Filled Croissant,Choose between pistachio or chocolate filling,3.5
Spinola Cafe Lounge St Julians,BREAKFAST,Ham & Cheese Toast, ,3
Spinola Cafe Lounge St Julians,BREAKFAST,Ham & Cheese Croissant, ,3
Spinola Cafe Lounge St Julians,BREAKFAST,Go Breakfast,"Coffee, orange juice, and a plain croissant",7
Spinola Cafe Lounge St Julians,DESSERTS,Tiramisu,Traditionally made tiramisu,5
Spinola Cafe Lounge St Julians,DESSERTS,Strawberry Cheesecake, ,5
Spinola Cafe Lounge St Julians,DESSERTS,Chocolate Mousse, ,6
Spinola Cafe Lounge St Julians,DESSERTS,Sicilian Ricotta Cannolo, ,6
Spinola Cafe Lounge St Julians,DESSERTS,Sicilian Cannolo with Pistachio of Bronte, ,8
Spinola Cafe Lounge St Julians,DESSERTS,Brownie, ,4.5
Spinola Cafe Lounge St Julians,DESSERTS,Strawberry Whole Cheesecake (500g),Requires 1 day advance order,20
Spinola Cafe Lounge St Julians,DESSERTS,Pistachio Tartelletta, ,1.5
Spinola Cafe Lounge St Julians,DESSERTS,Hazelnut Tartelletta, ,1.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso, ,1.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Lungo, ,1.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Macchiato, ,1.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Decaf Coffee, ,1.8
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Americano, ,2.2
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Espresso Mocha, ,2
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Cappuccino, ,2.25
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Caffè Latte, ,2.75
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Double Espresso, ,2.8
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Ice Coffee, ,3.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Tea,Earl Grey or English Breakfast,3
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Hot Chocolate,Pure chocolate with whipped cream,4.25
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Hazelnut Hot Chocolate,Melted chocolate with hazelnut syrup,4.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Mini Marshmallow Hot Chocolate,Melted chocolate topped with mini marshmallows,4.5
Spinola Cafe Lounge St Julians,HOT BEVERAGES,Homemade Hot Tea, ,5
Spinola Cafe Lounge St Julians,SMOOTHIES,Strawberry & Banana Smoothie,"Blended strawberries, banana, and apple juice",5.5
